del,al,Encuesta,Muestra,Levantamiento,Error,EPN,JVM,AMLO,GQ,NR,Ventaja
18/4/12,20/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,36.8,19.9,19.4,0.9,23,Peña +16.9
18/4/12,22/4/12,El Sol de México-Parametría,1000,Vivienda,±3.1%,44.0,21.0,20.0,1,14,Peña +23
17/4/12,19/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,39.4,17.9,19.3,1,22.4,Peña +20.1
16/4/12,18/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,40.3,17.7,16.1,1.2,24.7,Peña+ 22.6
15/4/12,17/4/12,Milenio-GEA ISA,1148,Vivienda,±3%,41.2,17.9,14.3,1.5,25.1,Peña+23.3
14/4/12,16/4/12,Milenio-GEA ISA,1148,Vivienda,±3%,40.0,20.8,14.0,1.3,23.9,Peña+ 19.2
13/4/12,15/4/12,Consulta Mitofsky,1000,Vivienda,±3.1%,40.2,22.6,17.3,0.7,19.2,Peña +17.6
13/4/12,15/4/12,Milenio-GEA ISA,1148,Vivienda,±3%,40.5,22.1,14.0,1,22.4,Peña +18.5
13/4/12,17/4/12,SDP Noticias-Covarrubias,1500,Vivienda,±2.53%,42.0,22.0,24.0,1.0,11.0,Peña +18
12/4/12,14/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,39.9,21.5,14.8,0.8,23,Peña +18.4
12/4/12,14/4/12,Grupo Fórmula-Con Estadística,1200,Vivienda,±2.9%,37.3,21.9,17.7,0.7,22.4,Peña +15.4
11/4/12,13/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,39.7,20.1,14.2,0.8,25.2,Peña +19.6
11/4/12,15/4/12,El Sol de México-Parametría,1000,Vivienda,±3.1%,39,20,18,1,22,Peña +19
10/4/12,12/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,39.5,18.9,16.2,0.6,24.8,Peña +20.6
9/4/12,11/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,38.7,18.4,16.8,0.8,25.3,Peña +20.3
8/4/12,10/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,40.1,18.0,16.5,0.7,24.7,Peña +22.1
7/4/12,9/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,38.1,19.0,15.2,1.2,26.5,Peña +19.1
6/4/12,8/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,38.4,21.1,14.0,0.9,25.6,Peña +17.3
5/4/12,7/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,35.8,21.7,16.6,0.7,25.2,Peña +14.1
4/4/12,6/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,36.9,22.2,16.3,0.4,24.2,Peña +14.7
3/4/12,5/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,35.7,21.0,16.7,0.8,25.8,Peña +14.7
2/4/12,4/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,35.0,21.5,14.0,0.7,28.8,Peña +13.5
1/4/12,3/4/12,Milenio-GEA ISA,1119,Vivienda,±3%,34.9,20.4,14.9,0.9,28.9,Peña +14.5
31/3/12,2/4/12,El Sol de México-Parametría,1000,Vivienda,±3.1%,40.0,22.0,15.0,2.0,21.0,Peña +18
31/3/12,2/4/12,Milenio-GEA ISA,1152,Vivienda,±3%,35.0,20.9,14.2,0.5,29.4,Peña +14.1
30/3/12,1/4/12,Milenio-GEA ISA,1127,Vivienda,±3%,36.0,21.2,12.8,0.6,29.5,Peña +14.8
29/3/12,31/3/12,Milenio-GEA ISA,1152,Vivienda,±3%,34.2,21.0,11.8,0.3,32.7,Peña +13.2
28/3/12,30/3/12,Milenio-GEA ISA,1150,Vivienda,±3%,33.5,21.6,11.1,0.3,33.5,Peña +11.9
27/3/12,29/3/12,Milenio-GEA ISA,1152,Vivienda,±3%,30.9,21.7,13.2,0.2,34.0,Peña +9.2
26/3/12,28/3/12,Milenio-GEA ISA,1112,Vivienda,±3%,31.7,21.0,13.0,0.2,34.1,Peña +10.7
25/3/12,27/3/12,Milenio-GEA ISA,1144,Vivienda,±3%,31.3,20.6,13.4,0.2,34.5,Peña +10.7
24/3/12,29/3/12,Ipsos-Bimsa,1000,Vivienda,±3.7%,38.0,25.0,19.0,0.0,18.0,Peña +13
24/3/12,26/3/12,Milenio-GEA ISA,1152,Vivienda,±3%,32.6,19.6,13.7,0.2,33.9,Peña +13
23/3/12,25/3/12,Milenio-GEA ISA,1152,Vivienda,±3%,32.5,20.5,14.4,0.2,32.4,Peña +12
22/3/12,26/3/12,Grupo Reforma,1343,Vivienda,±2.7%,36.0,26.0,18.0,1,19.0,Peña +10
22/3/12,24/3/12,Milenio-GEA ISA,1152,Vivienda,±3%,32.7,21.4,14.8,0.3,30.8,Peña +11.3
22/3/12,25/3/12,Consulta Mitofsky,1000,Vivienda,±3.1%,39.1,23.5,18.5,0.3,18.6,Peña +15
21/3/12,23/3/12,Grupo Fórmula-Con Estadística,1200,Vivienda,±2.9,36.3,22.5,16.7,0.2,24.3,Peña +13.8
21/3/12,23/3/12,Milenio-GEA ISA,1152,Vivienda,±3%,31.7,22.7,14.7,0.6,30.3,Peña +9
20/3/12,22/3/12,Milenio-GEA ISA,1150,Vivienda,±3%,31.5,24.1,13.8,0.5,30.1,Peña +7.4
19/3/12,21/3/12,Milenio-GEA ISA,1134,Vivienda,±3%,31.1,22.6,14.6,0.5,31.2,Peña +8.5
18/3/12,20/3/12,Milenio-GEA ISA,1147,Vivienda,±3%,32.6,22.1,14.5,0.6,30.2,Peña +10.5
17/3/12,19/3/12,Milenio-GEA ISA,1146,Vivienda,±3%,33.8,21.2,15.3,0.8,28.9,Peña +12.6
15/3/12,19/3/12,SDP Noticias-Covarrubias,1000,Vivienda,±2.53%,43.0,24.0,21.0,1.0,11.0,Peña +19
14/3/12,17/3/12,El Sol de México-Parametría,1000,Vivienda,±3.1%,37.0,24.0,17.0,1.0,21.0,Peña +13
14/3/12,18/3/12,El Universal-Buendía y Laredo,1000,Vivienda,±3.5%,42.5,23.7,16.9,1.1,15.8,Peña +18.8
12/3/12,16/3/12,El Universal-Buendía y Laredo,1250,Vivienda,±3.1%,41.6,17.5,16.4,1.1,23.4,Peña +24.1
8/3/12,11/3/12,Consulta Mitofsky,1000,Vivienda,±3.1%,39.0,24.0,18.0,0.0,19.0,Peña +15
2/3/12,4/3/12,Grupo Fórmula-Con Estadística,1200,Vivienda,±2.9,36.4,25.4,17.8,0.7,19.7,Peña +11
24/2/12,28/2/12,El Sol de México-Parametría,1000,Vivienda,±3.1%,35.0,24.0,15.0,1.0,25.0,Peña +11
23/2/12,28/2/12,Ipsos-Bimsa,1000,Vivienda,±3.7%,36.0,24.0,21.0,0.0,19.0,Peña +12
17/2/12,20/2/12,Consulta Mitofsky,1000,Vivienda,±3.1%,40.0,25.0,17.0,1.0,17.0,Peña +15
10/2/12,12/2/12,Grupo Fórmula-Con Estadística,1200,Vivienda,±3%,39.7,22.0,15.6,0.1,22.6,Peña +17.7
10/2/12,15/2/12,SDP Noticias-Covarrubias,1000,Vivienda,±3.1%,36.8,23.7,26.4,0.3,13.0,Peña +10.4
8/2/12,13/2/12,El Universal-Buendía y Laredo,1000,Vivienda,±3.5%,39.0,25.0,16.0,ND,20.0,Peña +14
6/2/12,8/2/12,Consulta Mitofsky,1000,Vivienda,±3.1%,40.0,24.0,18.0,ND,18.0,Peña +16
29/1/12,1/2/12,Ipsos-Bimsa,1000,Vivienda,±3.7%,36.0,24.0,16.0,ND,24.0,Peña +12
28/1/12,31/1/12,El Sol de México-Parametría,1000,Vivienda,±3.1%,43.0,22.0,18.0,ND,17.0,Peña +21
21/1/12,23/1/12,GEA-ISA,1000,Vivienda,±4%,41.0,21.0,17.0,ND,21.0,Peña +20
14/1/12,18/1/12,Consulta Mitofsky,1000,Vivienda,±3.1%,41.0,23.0,18.0,ND,18.0,Peña +18
26/12/11,29/12/11,Consulta Mitofsky,1000,Vivienda,±3.1%,42.0,21.0,17.0,ND,20.0,Peña +21
21/11/11,27/11/11,Consulta Mitofsky,1000,Vivienda,±3.1%,44.6,19.7,16.1,ND,19.6,Peña +25
18/11/11,21/11/11,GEA-ISA,1000,Vivienda,±4%,44.0,19.0,16.0,ND,21.0,Peña +25
10/11/11,15/11/11,El Universal-Buendía y Laredo,1000,Vivienda,±3.5%,44.0,24.0,15.0,ND,17.0,Peña +20
28/10/11,3/11/11,Ipsos-Bimsa,1000,Vivienda,±3.7%,54.0,15.0,14.0,ND,17.0,Peña +39
21/10/11,24/10/11,Consulta Mitofsky,1000,Vivienda,±3.1%,47.0,18.5,15.5,ND,19.0,Peña +29
22/9/11,26/9/11,Consulta Mitofsky,1000,Vivienda,±3.1%,46.9,17.2,16.9,ND,19.0,Peña +29.7
25/8/11,28/8/11,GEA-ISA,1000,Vivienda,±4%,44.0,17.0,11.0,ND,28.0,Peña +27
18/8/11,22/8/11,Consulta Mitofsky,1000,Vivienda,±3.1%,47.4,16.7,17.7,ND,18.2,Peña +29.7
17/8/11,24/8/11,Ipsos-Bimsa,1000,Vivienda,±3.7%,49.0,13.0,18.0,ND,20.0,Peña +31
1/8/11,30/9/11,Parametría,1000,Vivienda,±3.1%,47.0,17.0,24.0,ND,12.0,Peña +27
29/7/11,3/8/11,El Universal-Buendía y Laredo,1000,Vivienda,±4.0%,46.0,17.0,15.0,ND,22.0,Peña +29
27/7/11,31/7/11,Consulta Mitofsky,1000,Vivienda,±3.1%,45.8,16.4,18.6,ND,19.2,Peña +27.2
24/6/11,27/6/11,Consulta Mitofsky,1000,Vivienda,±3.1%,47.4,16.7,17.7,ND,18.2,Peña +29.7
10/6/11,17/6/11,Ipsos-Bimsa,1000,Vivienda,±3.7%,48.0,13.0,16.0,ND,23.0,Peña +32
26/5/11,29/5/11,GEA-ISA,1000,Vivienda,± 4%,42.0,21.0,11.0,ND,26.0,Peña +21
20/5/11,23/5/11,Consulta Mitofsky,1000,Vivienda,±3.1%,47.0,15.0,18.0,ND,20.0,Peña +29
1/5/11,2/5/11,Parametría,500,Vivienda,±4.4%,46.0,15.0,18.0,ND,21.0,Peña +28
29/4/11,2/5/11,Consulta Mitofsky,1000,Vivienda,±3.1%,47.8,14.3,18.7,ND,19.2,Peña +29.1
14/4/11,19/4/11,Ipsos-Bimsa,1000,Vivienda,±3.7%,51.0,7.0,17.0,ND,25.0,Peña +34
25/3/11,28/3/11,Consulta Mitofsky,1000,Vivienda,±3.1%,49.0,14.2,18.1,ND,18.7,Peña +30.9
24/3/11,27/3/11,Grupo Reforma,1515,Vivienda,±2.5%,45.0,16.0,23.0,ND,16.0,Peña +29
11/3/11,13/3/11,GEA-ISA,1000,Vivienda,±4%,44.0,18.0,13.0,ND,25.0,Peña +26
